,descricao,calculado,correto,volumeTipo,qtdInsumos,farma,incerteza,ajuste,criado
0,60 CAP | VITAMINA C REVESTIDA  500MG; POMEGRANATE   500MG; QUERCETINA  300MG; MOLIBDENIO  100MCG; ACIDO FERULICO  300MG; TOCOTRIENOIS  300MG,1042.736844,1044.3,CAP,6,2CF4EC23-F78C-4318-98BE-7FBD17318958,4,0,2020-07-25 20:04:10
1,30 CAP | OSTARINE  25MG,166.05120000000002,187.1,CAP,1,2CF4EC23-F78C-4318-98BE-7FBD17318958,1,0,2020-07-25 20:01:10
2,30 ML  | VITAMINA D LIQ 40.000UI/ML  4400UI; SOLUCAO OLEOSA PARA VITAMINA D 0.250ML,73769.094,46.0,ML,2,2CF4EC23-F78C-4318-98BE-7FBD17318958,4,0,2020-07-25 19:56:10
3,60 CAP | CAFEINA BASE ANIDRA  50MG; MOROSIL  200MG; TRANSRESVERATROL  125MG; RASPBERRY KETONE  120MG; GREENSELECT PHYTOSOME  150MG; CAPSIATE  8MG; GENGIBRE PO  250MG; CINNAMOMUM  275MG; TADALAFIL 2.500MG,535.2742317,549.9,CAP,9,2CF4EC23-F78C-4318-98BE-7FBD17318958,0,0,2020-07-25 19:44:10
4,60 CAP | CURCUMA EXT SECO  1G; PIPERINA  5MG,203.6535,228.8,CAP,2,2CF4EC23-F78C-4318-98BE-7FBD17318958,0,0,2020-07-25 19:43:09
5,60 CP  | RECOMPOSITOR  MICROBIOTA CAP  60UN,294.15902400000004,178.0,CP,1,2CF4EC23-F78C-4318-98BE-7FBD17318958,0,0,2020-07-25 19:43:09
6,30 CAP | FAMOTIDINA  20MG; MELOXICAM 7.500MG; AMITRIPTILINA 7.500MG; COMPLEXO B 100MG CAPS  100MG; CARISOPRODOL  50MG,30.3325173,53.7,CAP,5,2CF4EC23-F78C-4318-98BE-7FBD17318958,0,0,2020-07-25 19:38:10
7,100 ML  | SOLUCAO DE MINOXIDIL 5%  5%,46.388883,59.0,ML,1,2CF4EC23-F78C-4318-98BE-7FBD17318958,1,0,2020-07-25 19:37:10
8,60 CAP | GARCINIA CAMBOGIA  500MG,25.042469999999998,40.0,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
9,60 CAP | SULFATO FERROSO  250MG,12.720015,29.0,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
10,4 CAP | IVERMECTINA  6MG,2.23656912,19.9,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
11,120 CAP | TRIBULUS TERRESTRIS  40%  500MG,72.924,66.75,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
12,150 ML  | OMEPRAZOL PO  1MG; AROMA MORANGO ALIMENT.  1%; XAROPE SIMPLES  1ML,23.13996795,33.0,ML,3,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,4,0,2020-07-25 19:29:35
13,120 CAP | MULUNGU  200MG,8.217408,36.3,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
14,60 CAP | ASHWAGANDHA  500MG,72.36864,62.5,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
15,60 CAP | IOIMBINA  5MG,7.9694292,29.83,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
16,30 CAP | MOROSIL  500MG,110.79249,107.5,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
17,60 CAP | ORLISTAT PO  120MG,125.01140400000001,72.83,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
18,60 CAP | TADALAFILA  5MG; IOIMBINA  5MG; VITAMINA E  100MG,44.854123200000004,54.0,CAP,3,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,4,0,2020-07-25 19:29:35
19,4 CAP | IVERMECTINA  6MG,2.23656912,19.9,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
20,120 CAP | ZINCO QUELATO  50MG,50.346768,48.28,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,4,0,2020-07-25 19:29:35
21,90 CAP | GLUCOMANNAN 80%  1200MG,103.510008,94.25,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
22,60 CAP | TERBINAFINA  250MG,159.39,90.0,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
23,4 CAP | IVERMECTINA  6MG,2.23656912,19.9,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
24,60 CAP | ASHWAGANDHA  500MG,72.36864,62.5,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
25,50 ML  | LATANOPROSTA DIL.1:1000% 0.005%; MINOXIDIL  5%; ESPUMIL  50ML,260.91639737500003,205.0,ML,3,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,4,0,2020-07-25 19:29:35
26,60 CAP | PIZOTIFENO 0.500MG; MELOXICAM  10MG; PROPRANOLOL  10MG; FLUFENAZINA 0.500MG,27.536301930000004,29.0,CAP,4,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
27,120 CAP | HIDROXICLOROQUINA SULFATO  100MG; PREDNISONA  3MG; DIACEREINA  40MG; CARISOPRODOL  150MG; CICLOBENZAPRINA HCL 3.500MG; MAGNESIO QUELATO  50MG; ZINCO QUELATO  15MG; FAMOTIDINA  20MG,659.3777838000001,237.0,CAP,8,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
28,120 CAP | CARBONATO DE CALCIO  600MG; VITAMINA D3 (INT)  600UI; VITAMINA K-2 (MK-7) PURA  60MCG,37.10016,69.0,CAP,3,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
29,60 CAP | MOROSIL  500MG,221.58498,203.0,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
30,60 CAP | CACTIX  500MG,80.80467,116.0,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
31,120 CAP | COENZIMA Q10 INT  100MG,173.9988,166.5,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
32,30 ENV | SULF. DE GLICOSAMINA 1.500G; CONDROITINA SULFATO 1.200G; BASE EFERVESCENTE LARANJA 1.350G,117.791627283,72.0,ENV,3,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,4,0,2020-07-25 19:29:35
33,30 ENV | MOROSIL  500MG; CACTINEA  1G; REFRESCO UVA  2G,196.12895699999999,254.0,ENV,3,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
34,60 CAP | ORLISTAT PO  120MG,125.01140400000001,80.9,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-25 19:29:35
35,60 G   | IVERMECTINA  1%; LOCAO CREMOSA  60ML,57.44992224000001,38.0,G,2,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,1,0,2020-07-25 19:29:35
